file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_en_003,0.0,4.5,ISLESE,-41.6524609375,-52.42227143507738,3.8907053204914357,11.511384912777462
F2BJ_en_001,0.0,25.309125,F2BJRLP,-46.375080254839986,-47.032055242641555,3.848877220511436,6.909478330693219
F2BJ_en_003,0.0,30.7068125,F2BJRLP,-46.65355849071963,-47.765193851336555,3.6229072472474995,10.262263400146932
F2BJ_en_002,0.0,28.6474375,F2BJRLP,-45.4119982547993,-46.15780434241662,3.15784801515642,7.965156599990637
ISLE_en_001,0.0,4.125,ISLESE,-41.086410411622275,-52.40665980747768,2.9523598371175805,11.904880022879937
ISLE_en_002,0.0,3.875,ISLESE,-43.38710132087629,-51.003747622172035,2.5149703067980043,12.313838416434937
